parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
r1_k1f	k1f	lin	0	10	0.003	1
r1_k1b	k1b	lin	0	5	0.06	1
r2_k2f	k2f	lin	0	20	0.01	1
r2_k2b	k2b	lin	0	5	0.1	1
r3_k3f	k3f	lin	0	5	1	1
r3_k3b	k3b	lin	0	20	0.01	1
r4_V4	V4	lin	0	1500	450	1
r4_K4	K4	lin	0	100	50	1
r5_k5f	k5f	lin	0	5	0.06	1
r5_k5b	k5b	lin	0	10	0.2	1
r6_k6f	k6f	lin	0	20	1	1
r6_k6b	k6b	lin	0	5	0.05	1
r7_k7f	k7f	lin	0	20	0.3	1
r7_k7b	k7b	lin	0	5	0.006	1
r8_V8	V8	lin	0	5	1	1
r8_K8	K8	lin	0	200	100	1
r9_k9f	k9f	lin	0	5	0.003	1
r9_k9b	k9b	lin	0	10	0.05	1
r10_k10f	k10f	lin	0	10	0.01	1
r10_k10b	k10b	lin	0	5	0.06	1
r11_k11b	k11b	lin	0	5	0.03	1
r11_k11f	k11f	lin	0	5	0.0045	1
r12_k12f	k12f	lin	0	5	0.0015	1
r12_k12b	k12b	lin	0	5	0.0001	1
r13_k13f	k13f	lin	0	5	0.09	1
r13_k13b	k13b	lin	0	20	0.6	1
r14_k14f	k14f	lin	0	10	6	1
r14_k14b	k14b	lin	0	5	0.06	1
r15_k15f	k15f	lin	0	10	0.3	1
r15_k15b	k15b	lin	0	10	0.0009	1
r16_V16	V16	lin	0	100	1.7	1
r16_K16	K16	lin	0	500	340	1
r17_k17f	k17f	lin	0	20	0.003	1
r17_k17b	k17b	lin	0	5	0.1	1
r18_k18f	k18f	lin	0	20	0.3	1
r18_k18b	k18b	lin	0	5	0.0009	1
r19_k19f	k19f	lin	0	20	0.01	1
r19_k19b	k19b	lin	0	10	0.0214	1
r20_k20f	k20f	lin	0	5	0.12	1
r20_k20b	k20b	lin	0	5	0.00024	1
r21_k21f	k21f	lin	0	20	0.003	1
r21_k21b	k21b	lin	0	5	0.1	1
r22_k22f	k22f	lin	0	10	0.03	1
r22_k22b	k22b	lin	0	20	0.064	1
r23_k23f	k23f	lin	0	5	0.1	1
r23_k23b	k23b	lin	0	10	0.021	1
r24_k24f	k24f	lin	0	10	0.009	1
r24_k24b	k24b	lin	0	5	0.0429	1
r25_k25f	k25f	lin	0	5	1	1
r25_k25b	k25b	lin	0	10	0.03	1
